Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Aruba,,,1.165965319,1.269663095,1.25131321,1.26187098,1.27677536,1.109147549,1.121295571,1.10294652,1.095235944,1.119600654,1.014001012,1.248301148,1.232693315,1.23961401,1.207401395,1.174430847,1.198827386,0.800938904,0.756486595,0.709075332,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,-1.251137018,-1.344179749,-1.35064733,-1.447252393,-1.446292281,-1.61325109,-1.672095537,-1.552298784,-1.645391107,-1.600470781,-1.430372834,-1.445960641,-1.364934087,-1.354713082,-1.540227771,-1.530074596,-1.502875924,-1.419310093,-1.493360877,-1.152265787,-1.183684349,-1.154931784,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,-1.155492663,-1.335463285,-1.377568841,-1.323181987,-1.241037726,-1.307493567,-1.308764577,-1.397766113,-1.332474947,-1.367469072,-1.302401423,-1.336971641,-1.458225965,-1.427726507,-1.483990431,-1.445171714,-1.199483871,-1.05461812,-0.935061216,-0.649475813,-0.612375736,-0.609920204,,,
Albania,-0.845340908,-0.853786588,-0.723731816,-0.813263893,-0.790545285,-0.706940055,-0.60521239,-0.54527092,-0.531616509,-0.701794147,-0.778729439,-0.751372695,-0.586571813,-0.545140803,-0.472373724,-0.48138684,-0.546018898,-0.564274073,-0.57353878,-0.577179968,-0.408189446,-0.332218528,,,
Andorra,1.310743809,1.33278954,1.119150281,1.269663095,1.25131321,1.26187098,1.27677536,1.317764997,1.301772714,1.272298098,1.260530829,1.253580928,1.220693946,1.151729107,1.15941143,1.171781301,1.178940058,1.176189423,1.265453935,1.279687047,1.270272374,1.251356125,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,1.111619234,0.826036751,1.039477348,0.990808547,0.885872543,1.00609827,1.071450472,0.906304717,0.890833914,1.070487618,1.155736208,1.273542762,1.198809981,1.03457427,1.131677032,1.095753789,1.117051482,1.072382092,1.083613992,1.150394559,1.155614495,1.073663831,,,
Argentina,-0.417055726,-0.479976803,-0.414409548,-0.377738357,-0.331238538,-0.372122079,-0.434875011,-0.445475101,-0.355230033,-0.364098519,-0.445909202,-0.434306711,-0.549791396,-0.581265271,-0.299235553,-0.309002459,-0.099273928,-0.107116245,-0.163570061,-0.422596842,-0.447221607,-0.360883951,,,
Armenia,-0.778165162,-0.6490224,-0.703455329,-0.683349848,-0.669232607,-0.74589169,-0.712412357,-0.621459663,-0.69503957,-0.664559424,-0.58800149,-0.530533433,-0.565446794,-0.609746635,-0.659795225,-0.637015164,-0.409369439,-0.227039859,-0.003474974,0.048684645,0.027907174,0.058399647,,,
American Samoa,,,0.791444957,0.789309144,0.299861044,0.308062404,0.317555279,0.347466081,0.328756839,0.310445875,0.299411148,0.303002298,1.220693946,1.151729107,1.15941143,1.762287259,1.780649662,1.780229092,1.265453935,1.279687047,1.270272374,1.251356125,,,
Antigua and Barbuda,0.850210369,0.854120076,0.839856029,0.742446184,1.11961627,1.146967053,1.27677536,1.317764997,1.301772714,1.272298098,1.260530829,1.253580928,0.634795427,0.64260906,0.645367682,0.197911337,0.236501798,0.239614844,0.239038527,0.231868863,0.310727566,0.326792687,,,
Australia,1.761436343,1.895287037,2.005868912,1.942667723,1.950813174,2.00087285,2.027342558,2.041763067,2.02361083,2.037909031,1.977507234,1.777833104,1.849272132,1.841308117,1.772251964,1.752974749,1.767454863,1.788073659,1.632980585,1.707388759,1.764367104,1.781204939,,,
Austria,1.915159225,1.963868618,2.026624441,1.912423491,1.904876947,2.003345251,1.828758121,1.6940341,1.596122026,1.47028935,1.427254438,1.537276983,1.466501832,1.472043753,1.496880531,1.50082016,1.568587184,1.521324396,1.477709413,1.24272728,1.258586764,1.133653283,,,
Azerbaijan,-1.195501924,-1.046231985,-1.18083179,-1.052521467,-1.095912457,-1.129073739,-1.156654239,-1.194081903,-1.245373249,-1.195314765,-1.142694116,-0.970754623,-1.022827625,-0.95257318,-0.852637351,-0.906532645,-0.853233695,-0.849681973,-1.078075886,-0.847890377,-1.040907383,-1.195471406,,,
Burundi,-0.759896934,-0.874153018,-0.97840488,-0.95718044,-1.101503611,-1.166984916,-1.088232398,-1.132561207,-1.168900132,-1.208371162,-1.468606353,-1.426513433,-1.268246889,-1.287038207,-1.278763294,-1.318501472,-1.478271365,-1.4969697,-1.563401699,-1.599664927,-1.518181205,-1.556025982,,,
Belgium,1.45780158,1.375112772,1.360382557,1.377162457,1.301286578,1.347415328,1.36263752,1.452005267,1.473829985,1.519928932,1.559110403,1.604317307,1.512720346,1.474453568,1.531243801,1.404194951,1.429573298,1.448797941,1.445801735,1.455202103,1.49497354,1.336844444,,,
Benin,-0.795710146,-0.577583432,-0.563022554,-0.871326268,-0.587095916,-0.470139265,-0.514077365,-0.627268314,-0.665382147,-0.605445802,-0.857918382,-0.745601773,-0.6696558,-0.563740015,-0.529033244,-0.576484859,-0.391633451,-0.32935977,-0.039982349,-0.17053856,-0.089857288,-0.049579449,,,
Burkina Faso,0.120319605,-0.107514307,-0.149054155,-0.105527252,-0.310118109,-0.329598039,-0.309015125,-0.345606595,-0.356885225,-0.378650427,-0.482446641,-0.525527596,-0.466838807,-0.299044788,-0.169877484,-0.138780206,-0.131607041,-0.2194933,-0.122198515,-0.082507454,-0.11163947,-0.169615507,,,
Bangladesh,-1.449086785,-1.54172051,-1.597114921,-1.406466603,-1.442982793,-1.063239932,-1.046788335,-1.075251222,-1.054080248,-1.097388625,-0.85661906,-0.893966019,-0.892609239,-0.844677091,-0.887518942,-0.858602941,-0.926822603,-1.017209649,-1.003712177,-0.986505091,-1.075751781,-1.120866418,,,
Bulgaria,-0.171931699,-0.087321013,0.06820406,0.018745424,-0.110585965,-0.231792405,-0.274787337,-0.229267567,-0.237023547,-0.26926437,-0.281460792,-0.327892512,-0.303166449,-0.346440643,-0.260855675,-0.196330279,-0.188220024,-0.181220517,-0.322349757,-0.258131921,-0.158206031,-0.137721658,,,
Bahrain,0.791833282,0.37417081,0.436752141,0.383150041,0.188148677,0.175549507,0.181815282,0.180615962,0.179316193,0.209991172,0.36653021,0.425915956,0.273115307,0.106954351,-0.047535866,-0.171065331,-0.176260635,-0.038056623,-0.092978388,0.144483089,0.139520317,0.177784815,,,
"Bahamas, The",1.415555596,1.407789588,1.411035895,1.32878685,1.34319973,1.328009129,1.330071688,1.360019565,1.348376751,1.346852183,1.316067934,1.334695697,1.308502436,1.097260356,1.067145824,1.134972572,1.096056581,1.102298617,1.106287122,1.15235579,1.256448865,1.266910076,,,
Bosnia and Herzegovina,-0.387543082,-0.282097161,-0.324706376,-0.232808679,-0.3014144,-0.374117345,-0.360781223,-0.379986048,-0.336401552,-0.326692939,-0.309364051,-0.244675368,-0.30006659,-0.417883575,-0.486797899,-0.554221451,-0.60617435,-0.647259772,-0.643099904,-0.66607517,-0.684315622,-0.581560016,,,
Belarus,-0.657884896,-0.537339866,-0.759292543,-0.723230779,-0.52986896,-0.574205935,-0.559036314,-0.56215173,-0.633431315,-0.619015694,-0.458519369,-0.405309916,-0.234991431,-0.315615207,-0.223861918,-0.24123624,-0.155491337,0.006896552,-0.134194106,-0.258520454,-0.579731464,-0.665028036,,,
Belize,-0.070856519,-0.10321895,-0.103965633,-0.201737866,-0.31359604,-0.324733347,-0.302956253,0.041316897,-0.023574317,-0.307089061,-0.030974895,0.020539243,-0.159672827,-0.209489331,-0.229907274,-0.30554679,-0.169633418,-0.191255376,-0.193254113,-0.330120027,-0.236913636,-0.226113811,,,
Bermuda,1.310743809,1.33278954,1.306410432,1.269663095,1.25131321,1.26187098,1.27677536,1.317764997,1.301772714,1.272298098,1.260530829,1.253580928,1.220693946,1.151729107,1.15941143,1.171781301,1.178940058,1.176189423,1.265453935,1.279687047,1.270272374,1.251356125,,,
Bolivia,-0.940807521,-0.853618503,-0.809159338,-0.741979063,-0.431123644,-0.402193725,-0.528391659,-0.631416976,-0.458648711,-0.573696494,-0.727891862,-0.587968886,-0.628802955,-0.717874646,-0.77488637,-0.701330721,-0.688641131,-0.781365752,-0.844824612,-0.883800149,-0.889700353,-0.838301063,,,
Brazil,0.081942312,0.090239018,-0.027268711,-0.15374814,-0.120479897,-0.083988786,0.003437368,-0.079985611,0.043806359,0.168382421,-0.046854232,-0.097959608,-0.36611709,-0.457840711,-0.446095586,-0.559814632,-0.480954379,-0.407892704,-0.429083496,-0.499217957,-0.566354334,-0.503643155,,,
Barbados,1.485193968,1.497642756,1.408980489,1.410587668,1.325771332,1.402494311,1.358608723,1.376189828,1.476755738,1.717747927,1.648287773,1.612309098,1.133057833,1.447721362,1.213547945,1.376136065,1.371705532,1.159040928,1.19359374,1.213144422,1.284738302,1.344585896,,,
Brunei Darussalam,0.291513354,0.294731706,0.39448899,0.239500239,0.201880708,0.209355533,0.482722253,0.984291792,0.857778549,0.854477346,0.538632572,0.639075398,0.526229799,0.535382152,0.531200409,0.675679505,0.760663569,0.76798594,1.248015285,1.216532826,1.175192595,1.278036118,,,
Bhutan,0.449922442,1.087011099,0.893403232,0.87191695,0.854816735,0.92875576,0.912390053,0.937309504,0.938382149,0.854587376,0.953947246,0.912137926,1.305882335,0.989430189,1.089875937,1.525725126,1.59020102,1.572299004,1.618371844,1.507002592,1.514781833,1.531422734,,,
Botswana,0.624537587,1.244919538,0.875725925,1.160792708,0.93653053,0.993910909,1.022529721,0.927733779,1.003351092,0.966567457,0.90651536,0.893460572,0.812723756,0.780862451,0.866951287,0.712409794,0.719060421,0.685445845,0.610775888,0.665120006,0.661908507,0.685792089,,,
Central African Republic,-0.979822814,-1.020734549,-1.477273107,-1.302766085,-1.219142318,-1.210953355,-1.137276769,-0.988850176,-0.9376055,-0.967538118,-1.005531907,-1.096205235,-1.166866422,-1.327413559,-1.305119753,-1.198327541,-1.233306646,-1.234152675,-1.295017958,-1.246621132,-1.246146679,-1.311393023,,,
Canada,1.982231498,1.931292057,1.805866241,1.86970067,1.952794552,1.99088037,1.987721443,2.051796675,2.061873198,1.971133471,1.918904424,1.879377961,1.832192659,1.845650196,1.944465518,1.881446004,1.79020822,1.729896784,1.56571281,1.616268754,1.658573031,1.67150104,,,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,2.059014559,2.012480974,1.985262632,2.010125875,2.083408356,2.140349388,2.108572006,2.060199976,2.064142466,2.029069901,2.13839817,2.124894381,2.147577286,2.094741821,1.942986488,1.945187926,1.96969378,1.94492662,2.045429468,1.958838105,2.009361982,2.021999121,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,1.479165316,1.167100906,1.305859327,1.41652751,1.412561893,1.345149994,1.317986846,1.321234822,1.441626906,1.47659266,1.543591261,1.498928189,1.440734148,1.182457328,1.022761106,1.001655817,0.958202481,0.978930891,1.106137156,0.95626688,0.968124032,0.96860379,,,
China,-0.557897568,-0.39526549,-0.565061569,-0.617887735,-0.518887699,-0.599234641,-0.526307642,-0.519456625,-0.570009887,-0.514727592,-0.438275933,-0.355887651,-0.337719589,-0.29992187,-0.268094301,-0.291626126,-0.286848217,-0.312614381,-0.071028143,0.030233584,0.016063672,-0.005370105,,,
Cote d'Ivoire,-0.801531196,-1.013844848,-1.241323471,-1.249787211,-1.20752883,-1.095069647,-1.119051337,-1.117385149,-1.172854543,-1.030993581,-0.838509381,-0.740123451,-0.419227511,-0.462360084,-0.555474997,-0.550498962,-0.526206732,-0.563736856,-0.551726758,-0.39522925,-0.33870557,-0.313007414,,,
Cameroon,-1.209111929,-0.981341302,-1.125436306,-1.199409604,-1.091455698,-1.033044815,-1.034228325,-1.020551085,-1.07531774,-1.16692555,-1.27243948,-1.217723012,-1.178884149,-1.096586347,-1.179418206,-1.225168586,-1.163068771,-1.217361093,-1.139536023,-1.115983486,-1.129714251,-1.162559748,,,
"Congo, Dem. Rep.",-1.449970841,-1.526455402,-1.444693923,-1.443382263,-1.540507793,-1.381071568,-1.261194229,-1.41292572,-1.457886696,-1.457506299,-1.329710841,-1.338340998,-1.321131706,-1.311215997,-1.367026448,-1.445294261,-1.517855287,-1.555470347,-1.592743516,-1.569615364,-1.544922113,-1.480511904,,,
"Congo, Rep.",-1.009017944,-1.090136647,-1.03629005,-1.059439778,-1.108278513,-1.160955787,-1.193248868,-1.213840961,-1.157320261,-1.144993901,-1.229751229,-1.176946998,-1.200222015,-1.271177769,-1.22733891,-1.366678953,-1.378056645,-1.436109304,-1.460652351,-1.392010927,-1.359779477,-1.345278859,,,
Colombia,-0.264330655,-0.204286307,-0.140631452,-0.145389393,-0.175137788,-0.279160351,-0.261542618,-0.337012529,-0.423333108,-0.317527682,-0.422298342,-0.441208124,-0.397509813,-0.352601826,-0.384617507,-0.429829597,-0.340439767,-0.283615679,-0.252498597,-0.365944803,-0.362088114,-0.309191287,,,
Comoros,-0.67476815,-0.693807721,-0.864246011,-0.887240291,-0.700171769,-0.691559911,-0.772487402,-0.812594295,-0.78624922,-0.803916514,-0.781551659,-0.732214689,-0.586699247,-0.769919634,-0.706793725,-0.710437715,-0.852027416,-1.058385015,-1.209177613,-1.310240626,-1.244991899,-0.990109265,,,
Cabo Verde,0.495939344,0.478955358,0.338964373,0.590595901,0.838406205,0.918705285,0.900168598,0.892971933,0.877152562,0.924242795,0.885680318,0.851966083,0.970862925,0.929722607,0.844147325,0.796454072,0.755423963,0.851012945,0.846103609,1.016379118,0.959875286,0.984857202,,,
Costa Rica,0.444571555,0.516545832,0.284917921,0.365192473,0.378651321,0.457115024,0.493208975,0.715470135,0.664391637,0.593173563,0.570753694,0.577441454,0.725378335,0.687055707,0.678310812,0.432391852,0.501138449,0.626857102,0.661411285,0.470307708,0.465857774,0.653749406,,,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,0.401489079,0.220001534,0.217612058,0.268494964,0.252376884,0.301246494,0.262841046,0.274810225,0.308642894,0.26503998,0.228043005,0.113214754,0.062706463,0.03837892,0.135588765,0.232622489,0.134250969,0.014878592,-0.153954476,-0.033175822,-0.069265679,-0.05509086,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,1.310743809,1.33278954,1.259595275,1.269663095,1.25131321,1.26187098,0.797165334,1.109147549,1.121295571,1.344402432,1.346243501,1.351991653,1.014001012,0.973310769,0.482039273,0.480952531,0.45604834,0.427906752,0.438464016,0.46845305,0.457700431,0.437594086,,,
Cyprus,1.126284242,1.192308187,0.873254597,0.899039984,1.085562587,1.073370457,1.193127513,0.9054178,0.969285846,0.859248042,1.243302345,1.238527775,1.070675373,0.971173227,0.78945446,0.746647298,0.607749343,0.598950326,0.349943221,0.369423598,0.421445221,0.332707405,,,
Czechia,0.358057916,0.489982098,0.38449049,0.48022601,0.350346774,0.321369082,0.343739986,0.380892634,0.384590119,0.383604437,0.310179651,0.299111813,0.429756612,0.467913359,0.555945516,0.568141341,0.509728491,0.533485949,0.555441022,0.615270674,0.663074553,0.767809868,,,
Germany,1.888743639,1.87576139,1.840065479,1.875442266,1.793642521,1.726519346,1.745895863,1.746210337,1.766428828,1.741949916,1.817630172,1.798000813,1.812294841,1.775833249,1.781293988,1.796975613,1.898398638,1.865103364,1.825341582,1.782924771,1.818363428,1.664166212,,,
Djibouti,-0.628373802,-0.648552418,-0.429071277,-0.711830616,-0.667271733,-0.542462528,-0.303243905,-0.367729425,-0.402063727,-0.421640873,-0.470184714,-0.550392866,-0.59669584,-0.697522461,-0.689762235,-0.671423614,-0.743121624,-0.880485117,-0.752914548,-0.805005491,-0.793266594,-0.78092742,,,
Dominica,0.850210369,0.854120076,0.759357512,0.743590176,0.689822674,0.705601811,0.791117251,0.80834341,0.771071732,0.768938184,0.69570899,0.692387104,0.691183269,0.60711211,0.624173343,0.6347422,0.535799265,0.521607757,0.556784511,0.547485948,0.539586186,0.544514537,,,
Denmark,2.310651064,2.358764887,2.406824589,2.278205633,2.459118366,2.434834003,2.376408815,2.435494423,2.352359056,2.392884016,2.382462263,2.399377823,2.25215745,2.185854197,2.203002691,2.190749168,2.156995773,2.12164855,2.236486197,2.333371401,2.402638197,2.376053095,,,
Dominican Republic,-0.472972482,-0.728653252,-0.592195392,-0.710663259,-0.723454773,-0.77585125,-0.752358675,-0.80672878,-0.8830809,-0.844827235,-0.897264659,-0.912038088,-0.842135191,-0.873729885,-0.81047219,-0.78759861,-0.830888629,-0.83899039,-0.750963449,-0.590438902,-0.439807773,-0.449474931,,,
Algeria,-0.928754985,-0.715244472,-0.699272692,-0.466420472,-0.564962566,-0.592309475,-0.633444846,-0.614938259,-0.552147269,-0.572699666,-0.521544516,-0.472966939,-0.613117993,-0.639462769,-0.673700511,-0.598896265,-0.658903956,-0.656169534,-0.666826963,-0.635961413,-0.638041079,-0.589308321,,,
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,-0.868261039,-0.728124201,-0.726669908,-0.735878944,-0.784096122,-0.74563235,-0.654705822,-0.744574428,-0.70774436,-0.641708136,-0.508597851,-0.502911985,-0.741118491,-0.672376871,-0.680792749,-0.626104653,-0.629500389,-0.509275019,-0.504086554,-0.59461385,-0.630264878,-0.647337437,,,
"Egypt, Arab Rep.",-0.440157712,-0.53074795,-0.58350575,-0.539499521,-0.737334073,-0.737870097,-0.765909255,-0.464862794,-0.596871853,-0.633263946,-0.57966435,-0.614102066,-0.575518012,-0.60090673,-0.590893149,-0.495982349,-0.514722347,-0.655317545,-0.810433626,-0.705943346,-0.678962171,-0.747790396,,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,0.125430346,-0.048502833,-0.148119673,-0.318069249,-0.345739335,-0.411584377,-0.358149886,-0.473421842,-0.550964773,-0.641272008,-0.778626442,-0.909558475,-0.885516047,-1.339490652,-1.344418287,-1.231316328,-1.322522044,-1.407732368,-1.340578318,-1.257548571,-1.282246232,-1.475264907,,,
Spain,1.316825151,1.348911166,1.337189078,1.327615857,1.177665472,1.079032421,1.178771973,1.054948092,1.160037041,1.163212419,1.170406342,0.926990271,0.689240038,0.63098675,0.569826066,0.510279894,0.612778783,0.666394532,0.711801946,0.715437472,0.685416162,0.629368722,,,
Estonia,0.739191175,0.922725499,0.982846856,0.994831264,1.012343884,0.96780771,0.952435076,1.000682592,0.989536285,1.045448303,1.088298321,1.181444526,1.298770547,1.255370736,1.231093168,1.202630877,1.468503714,1.525247574,1.58082056,1.506608486,1.544712782,1.538122296,,,
Ethiopia,-0.717909098,-0.777412176,-0.757493496,-0.772508383,-0.650104702,-0.632185876,-0.666399777,-0.704722345,-0.694108725,-0.667876601,-0.608586848,-0.501710415,-0.448165894,-0.476118475,-0.442086548,-0.582322061,-0.505317926,-0.434498817,-0.389672369,-0.422021747,-0.433258951,-0.465061635,,,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,2.369009733,2.374123812,2.410111427,2.314718962,2.454110861,2.389477491,2.320845842,2.240718603,2.151669741,2.191915035,2.226846695,2.200242758,2.15926671,2.21564579,2.186306953,2.162336588,2.171759129,2.113932848,2.17043972,2.237840652,2.246865034,2.221516609,,,
Fiji,0.610876262,0.276081532,0.290086865,-0.224626929,0.184131041,0.121460937,0.098341845,-0.154777318,-0.159897983,0.108835898,0.181172475,0.196483538,0.385087878,0.378061682,0.335585773,0.638820291,0.699951291,0.688054383,0.613366008,0.443440259,0.388872087,0.506272018,,,
France,1.191585183,1.305756092,1.311163783,1.357538223,1.45506084,1.456001759,1.39503479,1.429969311,1.487756133,1.537773252,1.471969485,1.304333687,1.287985563,1.247834802,1.328288913,1.224527001,1.2815516,1.248062253,1.122619987,1.281936288,1.259436131,1.184821844,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,0.32329455,-0.12089359,-0.104157448,-0.24031949,-0.217524931,-0.219170406,-0.259419352,-0.344322592,-0.12400189,-0.179501384,0.814282,0.678406954,0.705651104,0.768536806,0.672313213,0.710593283,0.874902904,0.563497782,0.483295739,0.783704281,,,
Gabon,-0.520378828,-0.553776979,-0.826650083,-0.660073698,-1.083067894,-1.166331768,-1.16565454,-1.077147484,-0.905257821,-0.893178523,-0.666252255,-0.634305477,-0.678029418,-0.723602355,-0.758754313,-0.8418926,-0.85915345,-0.887044489,-0.886901438,-0.86800009,-1.042976618,-1.01552844,,,
United Kingdom,2.002636671,1.982953906,1.910911679,1.89147985,1.782940269,1.732870221,1.668904305,1.623889804,1.605673909,1.614863515,1.665460467,1.718897581,1.746339202,1.831268311,1.850517273,1.814270496,1.806870818,1.748667479,1.660201192,1.640584111,1.620121479,1.480913877,,,
Georgia,-1.264141917,-0.650767446,-0.459568113,-0.212853789,0.050152458,-0.128835425,-0.102076381,-0.122036166,0.012301577,0.117519699,0.397421122,0.46361962,0.828279138,0.700735152,0.713530719,0.759495616,0.724816799,0.716545463,0.601492643,0.661079526,0.620420039,0.617694795,,,
Ghana,-0.342790067,-0.311426789,-0.279528439,-0.3687464,-0.014181604,0.038147695,-0.077458486,-0.009987613,0.014280469,-0.029126318,-0.126568556,-0.096715234,-0.195330203,-0.210838303,-0.175533578,-0.253390342,-0.13836363,-0.108660869,-0.127223,-0.128043622,-0.064371035,-0.099021114,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,
